,Name,Released,System Interface Type,Expiration Date
0,Intel® 82575 Gigabit Ethernet Controller,Q2'07,PCIe v2.0 (2.5 GT/s),"Monday, April 2, 2012"
1,Intel® 82598 10 Gigabit Ethernet Controller,Q3'07,PCIe v2.0 (2.5 GT/s),"Thursday, August 2, 2012"
